,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
293,42.88,22.89,22.7,12.33,76.11,8.99,21234.44,0.46,0.0,1.856447688564477,7.369565217391305,4167.01
294,42.97,23.2,21.96,11.28,75.76,8.99,21257.85,0.47,0.0,2.0567375886524824,7.212765957446809,4059.4399999999996
295,43.73,23.51,22.69,12.16,76.2,8.84,20892.06,0.5,0.0,1.933388157894737,6.84,4144.06
296,41.44,22.61,23.93,13.05,75.92,8.99,21318.84,0.49,0.0,1.732567049808429,6.918367346938776,4180.75
297,39.21,23.17,23.34,13.54,75.92,9.09,21608.09,0.52,0.0,1.7112259970457906,6.403846153846154,4210.37
298,39.95,22.69,24.08,12.22,76.28,9.15,21570.23,0.56,0.0,1.8567921440261865,6.07142857142857,4292.380000000001
299,42.12,22.38,24.76,12.67,76.06,9.19,21755.17,0.55,0.0,1.7663772691397,5.872727272727272,4251.969999999999
303,41.92,23.07,22.71,13.11,75.21,9.19,22086.43,0.54,0.0,1.759725400457666,5.814814814814815,4274.46
304,40.64,22.98,22.04,12.31,74.91,9.2,21928.25,0.56,0.0,1.8667749796913078,5.732142857142857,4223.360000000001
305,44.77,23.22,21.66,11.43,75.15,9.19,21720.61,0.57,0.0,2.031496062992126,5.68421052631579,4240.030000000001
335,43.1,23.01,22.87,12.73,75.22,8.95,21429.64,0.45,0.0,1.8075412411626082,7.2,4328.669999999999
336,41.35,23.16,22.85,11.25,75.02,9.1,21863.55,0.42,0.0,2.058666666666667,7.666666666666668,4039.6399999999994
337,41.35,23.31,22.79,11.8,74.91,9.05,21647.5,0.46,0.0,1.975423728813559,7.152173913043478,4203.36
338,41.33,23.02,23.38,12.13,75.2,9.11,21701.52,0.43,0.0,1.8977741137675184,7.627906976744185,4173.6
339,41.54,22.73,24.17,12.66,75.05,9.14,21762.36,0.49,0.0,1.7954186413902053,6.653061224489796,4123.9
340,38.45,23.21,23.09,13.73,75.08,9.14,21761.76,0.47,0.0,1.6904588492352512,6.9361702127659575,4114.259999999999
341,41.94,23.22,23.43,12.3,74.84,9.15,21882.64,0.48,0.0,1.8878048780487804,6.770833333333334,4164.669999999999
342,42.62,23.16,23.19,12.95,74.98,9.06,21518.77,0.51,0.0,1.7884169884169885,6.235294117647059,4144.88
343,40.25,23.21,23.32,13.23,75.01,8.99,21254.78,0.47,0.0,1.7543461829176115,6.723404255319149,4182.75
344,39.64,22.91,23.6,12.91,74.82,8.96,21004.49,0.49,0.0,1.774593338497289,6.448979591836735,4140.53
345,41.25,22.7,23.68,13.22,75.05,8.9,20771.95,0.52,0.0,1.7170953101361572,5.923076923076923,4209.51
346,42.0,23.62,22.41,12.1,74.99,8.94,21058.13,0.49,0.0,1.9520661157024795,6.36734693877551,4181.39
347,40.37,23.0,22.7,12.79,74.85,8.93,20930.78,0.48,0.0,1.7982799061767007,6.375,4201.849999999999
348,40.65,23.57,21.87,11.02,74.87,8.92,20987.67,0.48,0.0,2.138838475499093,6.541666666666667,4179.92
349,42.82,23.52,21.95,11.02,75.26,8.98,21078.17,0.48,0.0,2.134301270417423,6.520833333333333,4204.52
350,42.2,23.36,22.84,11.56,75.06,9.11,21512.11,0.5,0.0,2.0207612456747404,6.12,4268.35
351,43.99,23.34,22.78,11.42,75.13,9.19,21604.39,0.48,0.0,2.043782837127846,6.6875,4216.84
352,43.31,23.77,21.41,11.61,75.03,9.1,21549.83,0.48,0.0,2.0473729543496986,6.604166666666667,4248.9800000000005
353,41.88,23.44,22.38,12.24,75.19,9.06,21526.66,0.48,0.0,1.9150326797385622,6.5625,4280.5
354,42.94,23.06,21.94,12.6,75.15,9.08,21472.31,0.45,0.0,1.83015873015873,7.066666666666666,4312.27
361,43.06,23.55,21.78,11.45,74.83,8.99,21096.88,0.45,0.0,2.056768558951965,7.2,4109.68
362,43.48,23.5,21.2,10.45,74.71,8.88,20772.1,0.47,0.0,2.248803827751196,7.0212765957446805,4117.98
363,42.47,23.38,22.88,11.15,74.96,8.79,20668.41,0.45,0.0,2.096860986547085,7.244444444444444,4105.52
364,44.04,23.3,23.18,10.42,75.13,8.83,20625.39,0.5,0.0,2.236084452975048,6.72,4186.320000000001
365,44.56,23.83,21.68,9.75,74.92,8.77,20467.29,0.53,0.0,2.4441025641025638,6.39622641509434,4117.639999999999
366,42.51,23.0,23.38,10.19,74.98,8.74,20307.94,0.54,0.0,2.2571148184494603,6.333333333333333,4187.13
367,41.5,23.26,22.89,12.02,75.03,8.75,20269.36,0.55,0.0,1.9351081530782033,6.145454545454545,4164.969999999999
368,42.21,23.43,22.94,11.87,75.22,8.8,20392.13,0.53,0.0,1.9738837405223253,6.377358490566038,4196.31
369,42.02,23.47,23.88,11.37,75.12,8.79,20395.18,0.54,0.0,2.064204045734389,6.222222222222221,4140.24
