TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RECUPERACION;RATIOSNS;RATIOSNS;RATIOFRDD80
2508.10;45.81;126.31;0.89;0.29;7.04;63.49;3.07;0.13;2.76
2508.00;50.62;115.65;1.02;0.38;6.48;64.94;2.68;0.16;2.28
2508.10;48.55;125.50;0.93;0.37;7.92;61.97;2.51;0.12;2.58
2499.10;45.39;158.15;0.97;0.40;5.84;77.23;2.43;0.17;3.48
2433.80;46.92;106.54;0.88;0.26;5.91;70.41;3.38;0.15;2.27
2508.00;43.05;117.32;0.85;0.23;6.02;70.96;3.70;0.14;2.73
2505.10;40.72;126.06;0.86;0.23;6.40;73.07;3.74;0.13;3.10
2508.10;46.60;110.60;0.93;0.22;5.79;65.36;4.23;0.16;2.37
2479.50;43.23;120.01;0.90;0.21;4.85;63.45;4.29;0.19;2.78
2354.30;41.36;118.30;0.90;0.23;5.05;68.08;3.91;0.18;2.86
2508.00;42.09;115.99;0.88;0.23;4.42;73.79;3.83;0.20;2.76
2507.90;43.27;111.67;0.88;0.24;4.27;72.26;3.67;0.21;2.58
2348.00;41.08;120.75;0.89;0.23;4.28;67.67;3.87;0.21;2.94
2508.00;43.90;101.52;0.88;0.23;5.98;71.88;3.83;0.15;2.31
2507.00;41.71;110.97;0.81;0.26;7.08;68.68;3.12;0.11;2.66
2508.80;44.17;109.77;0.95;0.24;6.90;72.45;3.96;0.14;2.49
2507.60;45.95;96.72;0.89;0.22;7.15;71.52;4.05;0.12;2.11
2247.00;48.55;98.77;0.91;0.24;7.23;66.65;;;
2581.00;44.77;113.96;0.91;0.25;7.37;73.35;3.64;0.12;2.55
2581.00;48.68;94.14;0.93;0.23;7.31;75.61;4.04;0.13;1.93
2664.50;49.25;95.75;0.96;0.25;7.19;69.64;3.84;0.13;1.94
2663.30;45.84;109.24;0.92;0.23;7.37;71.24;4.00;0.12;2.38
2664.00;50.48;96.73;0.96;0.24;7.62;68.09;4.00;0.13;1.92
2575.50;47.80;107.20;0.97;0.24;7.56;67.63;4.04;0.13;2.24
2640.00;45.50;125.94;0.92;0.25;7.82;64.76;3.68;0.12;2.77
2566.50;44.86;148.96;0.88;0.24;7.60;68.35;3.67;0.12;3.32
2508.00;51.60;126.57;0.88;0.26;7.87;59.24;3.38;0.11;2.45
2508.00;53.56;129.29;0.90;0.24;8.24;59.89;3.75;0.11;2.41
2508.00;47.36;134.63;0.98;0.33;7.56;65.29;2.97;0.13;2.84
2508.00;46.04;115.51;0.91;0.31;7.48;73.22;2.94;0.12;2.51
